;választott_tárgy;idegen_nyelv_ks;Felvételkori_pénzü_státusz;erettsegi_ota_eltelt_évek;magyar_nyelvtan_ks;Szerzett/Érettségi_pontsz;matematika;verseny;matematika_ks;Képzés;ks_helye;Hozott/Tanulmányi_pontszám;magyar_irodalom_ks;Oklevél_eredménye_számmal;Felvétel_féléve;nyv_pontok;történelem;regolya;magyar_nyelv_és_irodalom;nem_ferfi;választható_tantárgy_ks;regolya.1;idegen_nyelv;történelem_ks;felvi_osszes_skalazott
8979;75.0;4.5;False;6.0;4.0;154.0;96.0;1.0;4.5;7N-AMM04;Nagyváros (megyei jogú);154.0;5.0;4.47;2013/14/1;1.0;85.0;False;90.0;True;4.5;False;87.0;5.0;482.0
1903;60.0;5.0;True;1.0;5.0;167.0;97.5;1.0;2.5;6N-AJ;Nagyváros (megyei jogú);183.0;5.0;3.54;2010/11/1;1.5;126.0;False;100.0;False;4.5;False;88.0;5.0;390.75
8191;87.0;4.0;True;0.0;5.0;166.0;82.0;1.0;5.0;2N-AE0;Főváros;193.0;4.0;3.41;2012/13/1;1.5;66.0;False;89.0;True;4.5;False;96.0;4.0;468.0
8276;126.0;3.5;True;15.0;4.5;136.0;99.0;1.0;5.0;6N-A0;Főváros;157.0;4.5;3.35;2014/15/1;1.0;84.0;False;100.0;False;5.0;False;98.0;5.0;416.0
365;80.0;5.0;False;4.0;3.5;180.0;142.5;1.0;5.0;2N-AM0;Főváros;187.0;5.0;4.24;2013/14/1;0.5;75.0;True;88.0;True;5.0;False;93.0;4.0;472.0
3539;98.0;5.0;True;0.0;4.5;173.0;93.0;1.0;4.0;4N-A5;Nagyváros (megyei jogú);180.0;4.5;4.84;2015/16/1;2.0;61.0;False;82.0;True;5.0;False;90.0;5.0;399.0
6363;84.0;5.0;False;0.0;5.0;167.0;97.0;1.0;5.0;7N-AMM04;Nagyváros (megyei jogú);179.0;2.5;4.58;2011/12/1;1.0;80.0;False;80.0;False;4.0;False;88.0;3.0;390.0
382;102.0;5.0;True;0.0;4.0;177.0;126.0;1.0;5.0;7N-AGM02;Főváros;158.0;4.5;3.66;2015/16/1;1.0;92.0;False;56.0;True;5.0;False;150.0;3.5;386.0
2710;70.0;5.0;False;7.0;3.5;137.0;112.5;1.0;3.5;2N-AG0;Egyéb;190.0;5.0;4.26;2011/12/1;1.5;80.0;False;80.0;True;5.0;False;50.0;4.0;430.0
265;127.5;5.0;True;0.0;3.5;192.0;144.0;1.0;5.0;3N-M0;Egyéb;191.0;5.0;4.59;2012/13/1;1.0;92.0;True;64.0;False;4.5;False;91.0;5.0;358.0
5682;60.0;5.0;False;0.0;4.5;153.0;53.0;1.0;5.0;6N-AJ;Főváros;0.0;5.0;4.29;2014/15/1;1.0;94.0;False;67.0;True;5.0;False;100.0;4.0;381.0
3745;126.0;4.5;True;0.0;3.0;160.0;87.0;1.0;4.0;2N-AG0;Egyéb;192.0;4.5;4.62;2012/13/1;2.5;60.0;False;90.0;True;5.0;False;80.0;4.0;442.0
9482;129.0;5.0;True;1.0;4.5;157.0;90.0;1.0;4.5;5N-A7;Nagyváros (megyei jogú);191.0;2.5;3.58;2010/11/1;1.5;73.0;True;62.0;False;4.5;False;94.5;4.0;402.0
4590;57.0;5.0;False;0.0;4.0;171.0;108.0;1.0;3.0;7N-ANG05;Nagyváros (megyei jogú);182.0;4.5;4.34;2017/18/1;1.0;42.0;True;84.0;False;4.0;False;132.0;4.0;394.0
5374;130.5;4.5;True;0.0;5.0;156.0;68.0;1.0;4.5;7N-AKM03;Nagyváros (megyei jogú);133.0;5.0;3.6;2011/12/1;1.5;126.0;False;89.0;False;5.0;False;90.0;5.0;462.0
8448;84.0;4.0;True;0.0;4.0;176.0;47.0;1.0;4.5;2N-AE0;Nagyváros (megyei jogú);187.0;3.5;4.47;2012/13/1;2.0;88.0;True;95.0;False;5.0;False;60.0;5.0;399.0
842;94.0;5.0;True;7.0;4.0;171.0;96.0;1.0;4.0;2N-AM0;Főváros;147.0;4.0;4.5;2013/14/1;2.0;74.0;False;84.0;True;4.5;False;86.0;5.0;428.5
4218;84.0;5.0;True;4.0;5.0;190.0;90.0;1.0;4.0;6N-AJ;Nagyváros (megyei jogú);180.0;3.5;3.72;2012/13/1;0.5;80.0;False;68.0;True;4.5;False;96.0;3.5;350.0
2279;80.0;5.0;True;0.0;5.0;185.0;85.0;1.0;4.0;6N-A0;Egyéb;177.0;4.0;3.81;2010/11/1;2.0;80.0;False;99.0;True;4.5;False;93.0;5.0;484.0
882;84.0;4.5;False;0.0;4.5;144.0;95.0;1.0;4.5;5N-A7;Egyéb;179.0;4.0;3.71;2012/13/1;1.5;92.0;False;49.0;True;5.0;False;80.0;4.5;439.0
8459;98.0;5.0;True;2.0;4.5;165.0;72.0;1.0;5.0;4N-A5;Főváros;180.0;5.0;4.97;2011/12/1;1.0;80.0;False;70.0;True;5.0;False;150.0;5.0;458.0
3724;109.5;5.0;True;0.0;4.5;156.0;93.0;1.0;5.0;9N-AF06;Egyéb;191.0;3.0;3.83;2017/18/1;1.0;73.0;False;80.0;True;5.0;False;97.0;3.5;418.0
